,id,標題,看板,留言數,心情數,收藏數,createdAt,updatedAt
0,224532648,更/沒有人有義務承擔妳的脾氣,relationship,1093,31283,4,2016-08-12T09:56:30.295Z,2018-07-15T16:07:18.046Z
1,229529020,#不再更新 男友在海上丟下我,relationship,3595,24926,0,2018-08-29T04:18:41.012Z,2018-08-30T13:23:38.345Z
2,227447324,#更 台女素質不意外,mood,650,24664,0,2017-10-11T04:25:55.598Z,2018-05-22T01:53:56.941Z
3,231189231,台男其實真該跟女生學學,mood,3931,22787,10,2019-04-29T11:43:37.99Z,2019-04-30T04:10:00.161Z
4,232389004,更 第一次體會到男友在顫抖,relationship,363,15769,0,2019-10-28T07:55:01.482Z,2020-12-08T04:55:03.484Z
5,234212181,女生出去玩不當司機，就不要在那邊嘰嘰喳喳,relationship,1096,15497,0,2020-08-12T04:16:30.246Z,2020-08-12T04:16:30.246Z
6,230614425,#更 玻璃男友跟他媽一起嗆我,relationship,783,14389,2,2019-02-02T02:13:21.501Z,2021-03-04T06:00:18.453Z
7,233160426,台灣男生真的辛苦了,relationship,1704,14044,12,2020-02-29T04:09:41.545Z,2020-12-08T04:54:25.053Z
8,232696826,（三更）什麼鳥分手理由？,relationship,669,13029,3,2019-12-16T09:49:33.273Z,2020-12-08T04:54:17.169Z
9,227129624,有毛關你P事,girl,271,11797,0,2017-08-31T03:15:46.237Z,2019-07-01T06:18:50.792Z
10,235064981,（更新）阿公被我抓姦在床,mood,326,11238,0,2020-12-28T03:50:22.749Z,2020-12-29T16:00:51.977Z
11,233535426,＃更2   拜託以後不要生女孩,relationship,647,11032,0,2020-04-23T08:43:37.52Z,2021-09-23T18:00:21.401Z
12,232024760,更//柯文哲臉書退讚跌落200萬了,mood,2099,10187,0,2019-09-07T04:07:12.606Z,2020-12-08T05:10:10.275Z
13,231234491,我沒辦法忍受這種女生,mood,4723,9712,6,2019-05-06T12:36:59.703Z,2019-05-07T03:31:38.161Z
14,230730920,我想搬去美國,funny,118,9366,0,2019-02-20T12:05:00.872Z,2019-02-21T13:02:56.986Z
15,233699923,主播因胸部太大被投訴？？？,girl,118,9366,1,2020-05-18T10:54:37.92Z,2020-12-27T22:00:09.439Z
16,224342557,再更 洋妞屌打台女？,girl,267,9350,0,2016-07-11T08:44:10.15Z,2020-02-20T18:00:15.479Z
17,229537321,#更 謝謝妳救了我,mood,111,8996,0,2018-08-30T09:17:31.209Z,2018-08-31T14:57:26.057Z
18,234010248,惡劣至極！網紅惡整Ubereats害人多跑共1000公里,mood,1720,8803,0,2020-07-07T07:49:33.428Z,2020-12-20T23:48:38.246Z
19,233148957,超不中立！愛莉莎莎是父權體制下的芒刺？,youtuber,428,8694,0,2020-02-27T07:30:01.391Z,2020-12-08T05:29:38.119Z
20,233162606,叫床叫錯名字（不再更,relationship,709,8329,2,2020-02-29T11:42:40.734Z,2020-03-02T03:43:43.056Z
21,233415321,更 沒為什麼，就突然不喜歡你了。,relationship,301,7521,0,2020-04-05T18:04:57.536Z,2020-12-08T04:54:09.504Z
22,236202762,Dcard酸民語錄大集合。,talk,423,7181,0,2021-06-08T08:07:25.855Z,2021-06-08T13:38:50.875Z
23,229975886,脫魯哪裡難,relationship,265,7141,0,2018-11-02T04:34:25.294Z,2021-11-20T12:00:23.51Z
24,231796739,為什麼這種人都有女（男）友,relationship,183,7138,0,2019-08-05T04:22:01.601Z,2022-02-10T18:00:27.39Z
25,227453402,台女素質,mood,213,7090,0,2017-10-11T23:51:58.778Z,2017-12-06T06:44:02.057Z
26,232247769,台男到底有多可悲,relationship,997,6957,0,2019-10-07T04:23:59.38Z,2019-10-07T15:23:34.09Z
