,id,標題,看板,留言數,心情數,收藏數,createdAt,updatedAt
0,225246481,10種讓飲料店員工爆氣方法(內有髒話不喜勿入),funny,1450,39517,0,2016-11-22T15:04:00.534Z,2018-06-24T09:28:15.358Z
1,227977114,客人你不要撒狗糧好嗎？,funny,135,29113,4,2017-12-25T14:26:33.041Z,2018-07-04T11:46:19.319Z
2,226230770,#更 先生要辣嗎？,funny,169,26759,0,2017-04-21T04:02:36.306Z,2017-09-08T11:26:21.856Z
3,230458176,#更 同居情侶的十件大小事,relationship,322,25696,12,2019-01-08T04:33:57.393Z,2019-01-09T05:08:40.104Z
4,225851658,讓人崩潰前五名（內有髒話）,funny,482,24475,0,2017-02-21T21:30:10.75Z,2017-10-25T05:42:04.281Z
5,228516187,肚子餓的悲哀,funny,113,24087,4,2018-03-18T16:07:23.24Z,2018-07-04T17:38:34.12Z
6,225185974,#更 飲料店的一些小祕密,food,717,23775,4,2016-11-13T13:47:58.238Z,2018-07-12T11:46:05.102Z
7,230504363,＃更 男友的女同學想追我男友,relationship,575,23467,0,2019-01-14T18:23:25.711Z,2021-03-02T06:45:08.001Z
8,224449407,7-11抽獎,funny,129,23364,0,2016-07-29T07:04:50.18Z,2018-06-13T07:58:22.281Z
9,225370761,不要上課看，會笑到被老師點名,funny,842,21980,27,2016-12-12T07:30:55.115Z,2018-07-30T10:08:29.214Z
10,232574877,好強女友的廢物模式 # 更,relationship,534,21676,0,2019-11-26T09:13:37.559Z,2020-12-08T04:55:09.843Z
11,225947241,#2更 綠茶婊看不起文組男,mood,3452,21391,2,2017-03-09T01:33:42.888Z,2017-12-06T19:39:38.764Z
12,237298606,不愧是我的舅舅,mood,386,21074,0,2021-10-24T16:38:21.334Z,2021-10-25T05:55:46.065Z
13,226190847,#更 10種飲料店員工有感行為,funny,387,20690,0,2017-04-15T08:28:37.805Z,2018-04-28T17:03:35.193Z
14,149479837,(更)請大家將心比心吧🙏🙏🙏,mood,367,19337,0,2016-04-23T12:02:21.074Z,2016-07-03T08:38:32.876Z
15,229651316,更新）朋友現任是神經綠茶,mood,585,18847,0,2018-09-15T04:28:42.263Z,2018-09-16T03:36:19.038Z
16,1047940,好險我沒有告訴你我很窮 #仿#更新,mood,673,18355,0,2016-01-29T12:16:48.808Z,2018-05-30T10:53:58.517Z
17,233685600,叮咚～有人在家嗎？8年級的共同回憶🎬,girl,1125,18197,13,2020-05-16T05:12:55.786Z,2020-12-08T05:57:09.121Z
18,233392618,店員哥哥，你去睡覺吧⋯⋯,funny,156,18075,11,2020-04-02T06:14:00.99Z,2020-12-08T05:22:08.607Z
19,226888765,（更新）#圖多 減了30公斤瘦到大家認不出來,girl,312,17766,4,2017-07-28T09:04:06.347Z,2018-06-30T12:12:18.351Z
20,229715407,阿嬤的翻譯機是不是壞了？,funny,139,17687,0,2018-09-24T02:56:32.361Z,2018-09-25T05:47:03.703Z
21,233308263,我阿公是真的帥內：）,funny,995,17468,0,2020-03-20T22:15:48.159Z,2020-12-08T05:22:31.735Z
22,233295066,突然開始健身減脂的男人真的有鬼,relationship,728,17368,6,2020-03-19T04:45:00.617Z,2020-12-08T04:54:22.004Z
23,228497384,9X➡️60公斤 慢慢消失的30公斤,funny,608,16214,16,2018-03-15T16:58:19.934Z,2018-07-30T20:31:02.677Z
24,224256660,史上最狂超商抽抽樂,funny,90,16202,0,2016-06-25T05:34:30.461Z,2016-11-05T16:49:29.315Z
25,237272672,*更新 有個綠茶婊室友怎麼辦^^,mood,1572,16028,6,2021-10-21T05:11:29.261Z,2022-09-22T16:56:37.269Z
26,226460635,#不斷更新 關於迷客夏的好幾個你不可不知之你一定要知,food,987,15974,0,2017-05-24T10:39:25.245Z,2018-07-10T00:38:06.258Z
27,226374909,身為弘光學生，善舉不是張揚，是默默付出,mood,539,15693,0,2017-05-11T16:22:00.288Z,2018-04-26T12:54:46.399Z
28,229699657,飲料店闆娘摔杯叫我都不要喝好了,mood,326,15634,1,2018-09-21T13:58:58.5Z,2018-09-22T17:22:24.937Z
29,232613500,遇到路邊大哭的女生,mood,301,13927,0,2019-12-02T14:58:09.279Z,2020-12-08T05:09:52.31Z
30,232954493,土耳其救難隊：若我們需要幫助 相信台灣也會前來,trending,164,13674,0,2020-01-25T07:04:41.85Z,2020-12-07T09:39:18.737Z
31,235182344,#更   我暗示了一個月你才懂🥲,relationship,613,13610,16,2021-01-16T11:30:00.775Z,2021-02-03T15:08:37.723Z
32,672012,課堂作業不小心做得太精緻,funny,258,13572,0,2015-10-18T19:03:29.783Z,2016-12-20T06:04:49.158Z
33,226179188,常長痘痘的快看過來#男女都適用#痘痘get out#學生買的起,makeup,424,13297,129,2017-04-13T14:16:51.434Z,2018-08-01T03:04:03.123Z
34,224066294,【懷念】八年級生必追偶像劇,girl,666,13065,0,2016-05-22T12:22:29.259Z,2018-07-13T17:26:24.733Z
35,224049509,#更 被我爸發現我是蕩婦,funny,71,12657,0,2016-05-19T14:20:44.243Z,2018-04-10T02:05:08.128Z
36,225358488,#開箱 #福到爆 #聖誕節交換禮,makeup,117,12511,0,2016-12-10T08:07:50.412Z,2017-12-25T12:11:48.626Z
37,225268141,#更 最荒謬的早餐,funny,148,12173,0,2016-11-26T01:29:10.414Z,2017-11-25T15:53:46.125Z
38,225283477,#二更 好像店員都怕客訴一樣,mood,252,11935,2,2016-11-28T12:56:13.044Z,2016-12-05T18:43:09.249Z
39,235288043,# 更到爆  綠茶，你真的很濃純香,relationship,664,11893,5,2021-02-03T15:34:07.529Z,2023-04-03T01:03:22.453Z
40,231449557,有人知道清心是賣冰塊的嗎？,funny,359,11872,0,2019-06-07T19:15:45.439Z,2020-12-08T05:22:23.874Z
