,post,floor,content,likeCount,school,gender
0,0,2,"我最近也很常兇男友😔可是他都是不講話的繼續默默的帶我上山下海😭
真的很謝謝這些願意包容我們的男友💕

_和男友在一起三年多的白目女友😝

------------------------
哇塞我傻眼了😂我的留言破三千誒👏",3268,弘光科技大學,F
1,0,4,B3 哪裡渣了請問🙄,636,真理大學,F
2,0,5,"B3
有時候心情不好可以諒解吧？
又不是每個人都是聖人😌
你來一次月經試試看唄?
--------------------------------
沒有說月經來發脾氣是對的
但沒有理由罵人渣女!",2501,賓州州立大學,F
3,0,6,"如果換成我跟男友的狀況

女主角的狀況就是我男友啦😂😂",92,國立勤益科技大學,F
4,0,7,這篇男女對調應該就有不一樣的留言了,1032,亞洲大學,M
5,0,8,"B7同意你的說法
不過還是覺得原PO很棒
至少有意識到自己的行為不妥
但是有時候傷人的話 
一出口了 傷害就是永遠的了
不可不慎啊",2220,國立中興大學,M
6,0,9,"看到留言又覺得某些男生很愛以偏概全了😅
換成男生也會有女生說好男人的",222,嶺東科技大學,F
7,0,10,"看完我也想哭了😣😣😣
我也是很容易因為一件小事就對男友大發脾氣
但他從來沒有兇過我或是罵我一次…
只是一直想盡辦法要我冷靜哄我不要生氣（擦淚…）
之後還會用小孩子無辜的臉來跟我示好
現在想想 真的對男友還要再好一點
謝謝妳原po😊

另外我想解釋 無意要戰
只是單方面的看到這些發脾氣的事件就叫渣？
我也問過我男友 為什麼都不兇我 這樣很有可能把我寵壞
他只說因為他捨不得兇我
但理性一點的說法是他認為硬碰硬事情不會處理的更好
所以乾脆哄我氣消了再好好溝通
這種緩和方式我蠻認同的
我也很慶幸我交到一個可以在我情緒失控時還能理性的男友
當然這只是我和男友間的相處之道

要是換作你們 也能這樣冷靜成熟的處理嗎

以上",386,朝陽科技大學,F
8,0,11,"認同原PO
幸好自己有意識到自己的不對
不然真的等失去了 再後悔也來不及了😭

-我也有一個對我這麼好的男朋友💞💞💞",96,大葉大學,F
9,0,12,"過去我也會兇我家男人 ...
不過他靠他的愛感化了我 XDDDD  
(為什麼上面這句好像很囧 ....?)
現在嘛~ 就是會跟他溝通
還是會任性，但是會明確地告訴他
是我自己在任性，不是他的錯。
他不需要為了迎合我做甚麼，也不需要道歉
請他讓我自己想一想，順便告誡他暫時離我遠一點 XDDD
我們現在已經有屬於我們自己的溝通模式了噢~
其實只要兩個人協調好，找出你們自己的相處模式就好了~

--超級幸運擁有專屬大白的YY",75,開南大學,F
10,0,13,"我也是常常為了一點小事兇我男友
可是只要每次兇完 
看他明明很委屈還要忍住脾氣安撫我的樣子就會好內疚
內疚之後都會道歉再跟他撒個嬌
剛剛才又兇他現在看到這篇文就好想哭阿😭😭",61,嶺東科技大學,F
11,0,14,"我上次也是這樣.....為了小事跟男友鬧脾氣
但他安撫我之餘也提醒我：我願意這樣是因為我愛你並不是我欠你的

隔天我鄭重為我的行為道歉
他依然很溫柔的說：妳不用跟我道歉，因為我愛你❤️

或許這樣自私了一點 但也不是不願意改
這樣就叫渣女有點超過了啊～～～😓😓",83,亞洲大學,F
12,0,15,真的😭😭😭因為發脾氣而失去一個我最愛的男朋友😭😭😭只能當經驗下次不要再犯了😢😢😢,29,輔英科技大學,F
13,0,16,唉，已經沒有人可以讓我這樣對待了,41,國立政治大學,M
14,0,17,"謝謝原po讓我也一同反省了自我
這些天來真的說了些不好聽的話
但他仍是靜靜的聽我把話說完了
想想也沒幾個能這樣包容自己了吧
還是想賴著那個獨一無二的他💕💞🙋🏻",19,真理大學,F
15,0,18,"B9
不知道妳的某些是指誰拉
不過我是沒有以偏概全 我也沒說原po不好
也是有覺得這是好女生的男生阿~

B7",18,亞洲大學,M
16,0,19,"所以說還是當混蛋好 做了件對的事 
就可以說是浪子回頭 

某電影台詞",68,國立臺北大學,M
17,0,20,我男友都這樣對我欸 我該怎麼辦,5,淡江大學,F
18,0,21,有25公分喔？,12,國立嘉義大學,F
19,0,22,一堆有公主病的突然開始在反省==，講的好聽下次還不是一樣,317,崑山科技大學,F
20,0,23,"要改變
不是發篇文就會改變的
請用心
別只是做做表面工夫
哭一哭說我會改就好",96,淡江大學,M
21,0,24,台女不意外,62,國立交通大學,M
22,0,26,"原Po只是把她的心情和想法告訴我們而已
她改不敢是她和她男友的事情
沒必要因為這樣罵她吧",116,建國科技大學,F
23,0,27,真的真的好中肯～前幾天我自己也親身體驗過差一點就這樣失去對方了😭😭,8,玄奘大學,F
24,0,28,生理期真的很容易影響情緒！,35,開南大學,F
25,0,29,人本來就互相的...覺得po這個告誡大家沒什麼意義...本來就沒有人應當承擔你的脾氣😑,32,大葉大學,F
26,0,30,"女友月經來我都挖一個壕溝蹲著，
或是打電話問朋友
敵軍火力強大，單兵該如何處理
朋友回答我，挖一個壕溝蹲好",197,國立中央大學,M
27,0,31,釣出一堆公主,148,國立臺北大學,M
28,0,32,"我現在跟我男友也正面臨到這樣的問題…
我也是一直莫名其妙兇他
講白一點我好像對他沒什麼耐心
可是他總是默默承受
直到昨天我們才爆發才大吵了一架
雖然今天已經講開了
但我真的很怕以後又會一直重複這樣的問題😳",8,正修科技大學,F
29,0,33,"B3 你沒有女朋友可以被兇 哭哭
 B24 你就不要找台女阿～
 B25 崩潰什麼又不是你 ㄏㄏ 你連女朋友都沒有吧


知錯能改善莫大焉

只看到一堆仇女的又該該叫了",88,國立雲林科技大學,F
30,0,34,"妳有發現非常的棒!
我相信妳發文能提醒更多人珍惜身邊的人
並且時刻提醒自己別在那樣!!!!!
💪💪💪💪
要長長久久哦~~~",27,國立虎尾科技大學,F
31,0,35,"我是見不到男友的時候很容易跟他鬧脾氣😔
事後想想我講話都很容易讓他傷心
覺得很對不起他😢",17,大葉大學,F
32,0,36,"妳真的要好好愛惜妳男友👍

我有時候耍脾氣我男友都兇回來
然後我就知道錯了😂",11,南華大學,F
33,0,37,"嗚嗚我也是白目女友
在一起年多我們的感情雖然還是跟在一起一個月一樣好
可是最近就很常兇男友
這兩天也覺得自己很壞
都把脾氣發在他身上
可是他還是對我很好很寵我
然後還要默默承受我的爛脾氣嗚嗚嗚
最近開始在實施換我寵男友計畫",9,輔仁大學,F
34,0,38,"嘛    也就這德性了
我們閃遠點就是
預測等等會有人嘴“難怪妳們都單身”
你捫心自問    這樣的女友給你    你要嗎？",76,國立成功大學,M
35,0,39,可以請問男友星座嗎？😂😂😂,0,開南大學,F
36,0,40,B3你壞掉了嗎-.-？,33,國立成功大學,M
37,0,41,"有時候親近的人反而脾氣不好控制
脾氣一直都是一輩子的課題",17,實踐大學,F
38,0,42,"B38
一個會自我反省的女友不好嗎？
每個人都會犯錯
但重點是犯錯之後有沒有反省跟改過
才是最重要的
我覺得原Po生氣的很無禮無理
但是他有好好跟男友道歉
也檢討自己的行為
讓自己以後要做好情緒管理

我覺得一個好的伴侶不需要多完美
如果你眼中只希望交到都沒有脾氣溫柔體貼的女孩子
那就也檢視一下自己
是否配得上這樣的女孩
是否追得到這樣的女孩

原Po不完美
但她意識到自己的不完美
並願意去認錯
這樣的特質在感情裡是很重要的

我想就是因為這樣的特質
他男友才會這麼寵她吧～",108,華盛頓大學,F
39,0,43,"每次跟男友吵架，明明他在氣我
但是總是對我笑笑的，裝作沒事
時常覺得對不起他 😭 😭 😭",5,靜宜大學,F
