,post,floor,content,likeCount,school,gender
0,0,1,"文太長了…懶得看完
打那麼久辛苦你呢！
行行出狀元~祝你走出自己的一片天😏😏

著樣也能上熱門！！我要感謝…睡不著的自己😒",1648,高苑科技大學,M
1,0,2,我有看完喔,232,我是誰我在哪,F
2,0,3,還有蜂蜜系列跟你吵一定要無糖的,5853,明志科技大學,M
3,0,6,"原來這就是圖文並茂XD
辛苦了辛苦了～",249,國立中興大學,F
4,0,7,哈哈哈😂我真的很想知道你是誰餒,186,德明財經科技大學,F
5,0,8,"身為專業的飲料店工讀
我深有同感",104,臺北城市科技大學,M
6,0,9,"我認真的看完了
但我只想說..
那個全罩式安全帽
也太像防毒面具了！！！",162,長庚科技大學,F
7,0,10,"還有那種情侶買一定要女生跟男生講再跟店員講的
重點是女生音量大到店員都聽得到的🙄
不然就是問大杯中杯時女生要在那邊北鼻你覺得我喝大杯還中杯好？大杯喝不完中杯你又跟我搶，要魯蛇店員情何以堪

歷經大學四年飲料店小小pt

沒想到上熱門了哈哈
這四年來真的歷經不少奧客
大直煮珍珠最好吃的男人願意跟歷經大學四年飲料店小小pt來個總整理嗎😂",3763,銘傳大學,F
8,0,11,天啊快笑死了XDDDDDDDDDD,86,高雄醫學大學,F
9,0,12,我真的超愛你的文哈哈哈哈太有畫面了,209,淡江大學,F
10,0,13,你忘了說請問可以試喝嗎,82,嘉南藥理大學,F
11,0,14,"你我互相包容，一句謝謝
是大家一整天開心的開始
每天都要吃早餐~",116,德明財經科技大學,M
12,0,15,"B13 好險我們店沒有試喝服務
不然我會很不小心手滑




自己喝掉",181,德明財經科技大學,M
13,0,16,煮珍珠給我吃~,26,正修科技大學,F
14,0,17,"我不是拿硬幣敲但我是用手指指甲連擊去敲
.
.
.話說我為何笑那麼久😂😂😂",36,國立高雄應用科技大學,M
15,0,18,B17 那我會想幫你剪指甲😂😂,49,德明財經科技大學,M
16,0,19,"我有時候會問店員哪個比較好喝欸😂
店員推薦的我幾乎會買😂",26,南開科技大學,F
17,0,20,每次看珍珠男的文都會笑死😂😂😂😂😂,60,中臺科技大學,F
18,0,21,有笑有推,13,中原大學,F
19,0,22,"圖文並茂 從頭笑到尾止不住
只能說真的是辛苦了啊!!",34,長榮大學,F
20,0,23,冬瓜茶半糖,15,佛光大學,M
21,0,25,"當我們檳榔西斯就算了，他媽的還附贈一袋垃圾啊！！！
還有常客自以為很常客一樣都不開口說要喝什麼在那邊跟我乾瞪眼，雖然我還是瞪輸了..


是GD耶😍😍",92,實踐大學,F
22,0,26,有同感 一堆無腦客人受不了,6,經國管理暨健康學院,F
23,0,27,"看完了哈哈超用心的
各種幽默感😂😂😂然後我們在一起了
笑翻😆😆",17,中華大學,F
24,0,28,"客：我要一杯奶茶
然後回來問為什麼奶茶裡面沒有珍珠
我：珍珠奶茶才有珍珠喔
客：喔，我以為奶茶裡面都會有珍珠",142,國立臺北商業大學,F
25,0,29,文筆戳中我笑點😂😂,13,宏國德霖科技大學,F
26,0,30,"原來是你寫的～看這個文風～
我真的好想喝喝看你煮的珍珠喔😭",21,中國文化大學,F
27,0,31,"哈哈哈哈喜歡這種文字風格 笑歪
不過真的辛苦你們了",12,崑山科技大學,F
28,0,32,我好像在看卡堤諾狂新聞哦  看了心情啵棒欸!!!,33,靜宜大學,F
29,0,33,拉牙套火氣特大哦哈哈,1,朝陽科技大學,F
30,0,34,捕捉到煮珍珠的男人了🙋,5,東吳大學,F
31,0,35,"客：我一要杯奶茶
：甜度冰塊呢
客：少冰
：那甜度呢
客：少冰
：甜度 ....
客：就少冰啊！

妹子我都快飆髒話了 😂😂😂",127,嘉南藥理大學,F
32,0,36,"有幾點有同感 


大海的調飲者",1,國立澎湖科技大學,M
33,0,37,太好笑了😂😂😂去去武器走,12,輔仁大學,F
34,0,38,"我做了4年的飲料店也遇到不少奇葩客人....
像是夏天早上9點多叫的椰果奶茶去冰，下午4點打來罵說椰果酸掉....要我們換一杯給他（（客人做服飾店沒冰箱
當下檢查所有原物料都是正常的...
結果是...重做一杯後送過去然後洗他臉

：你們很誇張欸！！酸掉的飲料還拿出來賣！！
：小姐！！夏天的天氣叫去冰的奶類飲料放7小時不冰不壞掉才可怕吧！！
：好像是欸...
：不好意思這杯飲料30元謝謝...
：噢！好....
乖乖掏出30元....",106,大仁科技大學,F
35,0,39,看完，糗嘎並軌😂😂😂😂😂,12,輔英科技大學,F
36,0,40,"因為你的文章很長我又滑到最上了
發現你是德明！想到前陣子很夯的七醜",3,國立澎湖科技大學,F
37,0,41,蛤可是我有選擇障礙欸 … 以後還是不要買飲料好了 😢,19,樹人醫護管理專科學校,F
38,0,42,衛生紙音量😂😂😂😂😂😂,24,真理大學,F
39,0,43,"真的，說得太好了！！！
根本我的心聲啊啊啊啊😂


- 清心小小小店員路過",8,南臺科技大學,F
40,0,44,我就知道是你,8,育英醫護管理專科學校,F
41,0,45,"我只能說 身為一個飲料店員工
不能同意你更多了
尤其是那種腦袋格式化的
很想直接拿起飲料往他頭上貓下去",30,南臺科技大學,M
42,0,46,"遇過對面便當店大媽打電話點3杯飲料
叫我們送過去 ：在對面而已欸@$!@#
幹他媽的知道在對面而已為什麼不過來拿難道我叫一個便當要他們送過來這樣合情合理嗎而且已有告知我們人手不足了
怕自己爆氣電話給同事：不好意思我們滿300才能外送哦 

寵壞客人就是讓自己難過🙄",25,新生醫護管理專科學校,F
43,0,47,夭壽好笑每次看你文章超有感觸受不了哈哈哈哈哈,3,建國科技大學,F
44,0,48,"我從頭笑到尾😂😂😂😂😂
飲料店的大家辛苦了💕",7,波霸奶茶無糖少冰,F
45,0,49,只有我覺得零錢連續技那個照片裡面的權志龍很可愛嗎😂😂😂,28,嘉南藥理大學,F
46,0,50,文章風格看開頭就知道是你😍😍😍,4,僑光科技大學,F
47,0,51,"煮珍珠最好吃的男人又來了💕
看完真的笑慘",7,CIH,F
48,0,52,"只有我看到put your hands up 那段
忍不住跟著唱嗎XDDD

之前不小心問了冬瓜茶能不能調甜度QAQ
因為太習慣了
大部分店家都是固定甜度
但是有些還是會意思性的問客人甜度冰塊

然後我有遇過台南的某間冬瓜茶店有可以調甜度的選擇（所以還是有例外情形的XD",30,國立成功大學,F
49,0,53,"還有一直催的
什麼快一點，我上班要遲到了！遲到你要負責嗎？
是沒看到人很多逆！
還有你遲到關老娘屁事

白眼都快翻到屁眼的女紙",15,景文科技大學,F
50,0,54,"：請問要喝什麼
：我每次都一樣啊
花惹發⋯

：**咖啡的牛奶可以加到滿嗎
：加奶量要加15元喔
：星*克都可以免費加滿為什麼你們不行
那你去那邊買啊 奇怪🙄🙄

：小姐我的咖啡好了沒
：手沖要等五分鐘喔
：阿是不能快點膩
膩你個頭啦
要不要咖啡渣給你 你直接含進嘴巴喝熱水漱口啦 

還有客人把車停路邊內用的還要我們顧車 也有客人在寄放物品的啦 再這樣我要收 保管費囉～

最討厭那種自以為很熟進門飄過櫃檯說了飲料就到位子上事後再來付錢的裝熟魔人

-自己做吧台也會問同事你覺得我要喝什麼問很久",36,🎻🎻🎻,F
51,0,55,這個語氣每次都會讓人笑瘋😂,4,吃涼麵就是要加美乃滋,F
52,0,56,"感同深受…😩
什麼人什麼狀況都有
常常都懷疑他們到底有沒有帶腦出門",4,朝陽科技大學,F
53,0,57,"之前我們店有在賣燈泡系列產品
都會有客人詢問
上面明明都貼了展示品 *禁止搖晃*
每個人看到都拿起來晃就算了
還有一個大嬸看到店裡新人就說
小姐可以晃嗎
話都沒講完就拿走在那邊丟來丟去
然後把自己灑的全身都是後在那邊大吵大鬧
小姐你從馬戲團出來就算了
可以不要丟感覺她就是新人啊好欺負",16,國立臺灣科技大學,M
54,0,58,我就知道是你XD,0,國立高雄餐旅大學,F
55,0,59,辛苦了，哪天來花村overwatch我招待你,0,花村村長,M
56,0,60,"哈哈哈超好笑 這讓我想到我叫外送超白目事蹟
店員：這樣五杯有送一杯哦 請問要什麼？
我：你覺得烏龍綠跟青茶哪個好喝？
店員：這要看你個人喜好哦
我：哦~~那這兩種你比較喜歡喝哪個啊
店員：（尷尬笑）我是比較喜歡烏龍綠啦
我：好 那我要錫蘭紅😂😂😂",14,正修科技大學,M
57,0,61,你的陳述也太可愛 笑死哈哈哈,2,文藻外語大學,F
58,0,62,"圖文並茂
好生動好有趣
就像你在面前
但我只看到權老公～

啊屙喔..... 就像我是美髮助理
有8+9洗頭時
你問他哪裡需要加強?需要棉花棒嗎?
跟你從頭蛤到尾
後面一整個爆氣大聲在他耳邊要不要啦?",10,國立臺北商業大學,F
59,0,63,"哈哈哈 完全戳中我平日的痛苦啊
之後再遇到他們的症狀
應該會想到這篇
髒話的點😂我笑了哈哈哈",4,國立虎尾科技大學,F
60,0,64,"哈哈  笑到美丁美當
服務業越來越難做TAT",1,國立中山大學,M
61,0,65,可是我有選擇障礙欸 每次買東西都選超久的,1,國立高雄第一科技大學,F
62,0,66,"👴：一杯半去。
👴：多少？
👼：嗯？你要喝什麼？
👴：綠茶啊！

👷：紅茶半糖去冰
👼：跟你收２５元哦！
👷：怎麼那麼貴，我要小杯欸！

👸：紅茶拿鐵半糖去冰
👼：這樣５０元哦
👸：兩杯耶！

飲料店員應徵需具備能力：讀心術",59,崇右影藝科技大學,F
63,0,67,太好笑哈哈哈哈哈哈哈,2,元智大學,F
64,0,68,"還有叫外送還說 可不可以順便幫我拿雞排 買菸
然後問一些怪問題
芒果綠茶跟芒果青茶差在哪裡？ 我都不好意思回他
不然就是飲料名字各種念不出來
雙Q 硬要講QQ 珍珠給我講珠珠
然後鮮柳橙綠 在那邊橙柳綠 鮮柳綠
最經典的遇過要買青茶 問我有沒有賣青草茶= =
還有 小姐我要一杯檸檬蘆筍 蘆筍？？？",29,開南大學,F
65,0,69,必須收藏哈哈哈哈哈哈哈,3,弘光科技大學,F
66,0,70,是你是你！文章描述太好笑了啦哈哈哈哈哈,3,東吳大學,F
67,0,71,"我們店是用果汁機打成碎冰的
有客人來說要紅茶半糖七顆冰塊就好🙄🙄
安安你是沒看到果汁機再轉嗎",4,嶺東科技大學,F
68,0,72,星冰樂去冰謝謝,0,正修科技大學,M
69,0,73,看完了~辛苦原PO了,0,靜宜大學,F
70,0,74,"B10我也遇過 (握手
真心覺得她男朋友是她看護吧",3,嶺東科技大學,F
71,0,75,"哈哈原po太好笑了😂😂😂
十種我都遇過😅

4/8羊男  板橋50嵐微笑小弟",3,明志科技大學,M
72,0,76,衛生紙音量我笑翻xDDDDDDDD,4,中國文化大學,F
73,0,77,"幹這文讓我從頭笑到尾哈哈哈哈哈
太中肯了那個評語跟敘述😂😂😂😂😂",4,中山醫學大學,M
74,0,78,哈哈哈我想吃珍珠😂,1,明新科技大學,F
75,0,79,有古阿莫的fu~,0,嘉南藥理大學,F
76,0,80,"之前在飲料店當pt
有次把紅糖當白糖補
被店長電到飛起來",1,銘傳大學,M
77,0,81,"看完整個大笑😂😂😂😂
覺得原po煮珍珠很好吃🤔",1,魯啦啦魯啦啦魯啦魯啦勒,F
78,0,82,"快笑死了 完全懂你的怒氣
同為飲料店打工的女子",2,逢甲大學,F
79,0,83,可是我很喜歡問店員推薦欸嗚嗚QQQQQQ,2,國立臺南大學,F
80,0,84,好好笑，大推(早餐差點噴出來),0,國立高雄應用科技大學,F
81,0,85,"推！推一個 ！
把錢放在很遠的地方要店員伸長手去拿的那種☠️",5,德明財經科技大學,F
82,0,86,"推珍珠哥www
你害我在教室裡笑到不行😂😂😂
然後我個人覺得應該是 爆氣(o) 暴氣(x)",3,鈺璟,F
83,0,87,"推到不能再推
我們店沒有試喝但是就有客人很愛盧
還有珍珠想要試吃的茶要試喝的！
這些客人真的TMD可以去吃屎拉！！！",1,景文科技大學,F
84,0,88,唉油喂呀~你讓我上課笑噴被老師叫起來罰站了啦,1,馬偕醫護管理專科學校,F
85,0,89,"還有請他稍等一下
回好後又開始劈哩啪啦的點餐😑
同為飲料店打工的女子",1,逢甲大學,F
86,0,90,還有他媽買五送ㄧ每次我們都先告知卻不一次點完害我們要從新打單退單,3,嘉南藥理大學,M
87,0,91,"到底在哪裡啊 我想去朝聖
😂😂😂",3,銘傳大學,M
88,0,92,哈哈哈哈哈哈,0,國立暨南國際大學,F
89,0,93,"烏龍茶去冰無糖
烏無無",4,致理科技大學,F
90,0,94,笑死😂,0,崑山科技大學,F
91,0,95,那我可以點珍珠奶茶 珍珠不要太多嗎,1,輔仁大學,F
92,0,96,推～～～～,0,遠東科技大學,F
93,0,97,乾我真的超愛你的文哈哈哈哈哈哈哈哈,4,雪梨科技大學,F
94,0,98,還有飲料一直改+你在忙時一直問你價錢,1,國立政治大學,F
95,0,99,我想請問一下蜂蜜系列是不是都不會再加果糖？,0,經國管理暨健康學院,F
96,0,100,"還有那種
手癢什麼都要碰的
我們的氣球抓一下
櫃檯裝飾搖一下也爽
白眼翻倒後腦",1,德明財經科技大學,F
97,0,101,B99 蜂蜜系列都只會加蜂蜜☺️,2,德明財經科技大學,M
98,0,102,B100 現在快中午了😂😂,1,德明財經科技大學,M
99,0,103,衛生紙音量😂😂😂😂,1,樹人醫護管理專科學校,F
100,0,104,"珍珠是你😍（又留一樣的言
零錢那個圖真的很抱歉我一直看V APP的志龍

之前做餐廳外場要做飲料也是發生很多莫名奇妙的要求..",7,樹德科技大學,F
